OSCEM,fromEMD,optionalsEMD,unitsEMD,crunchEMD,typeEMD,fromPRZ,optionalsPRZ,untisPRZ,crunchPRZ,typePRZ
,,,,,,,,,,
instrument.microscope,Instrument.ComputerName,Instrument.ControlSoftwareVersion/Instrument.InstrumentClass/Instrument.InstrumentId/Instrument.InstrumentModel/Instrument.Manufacturer,,,String,,,,,
instrument.illumination,Optics.IlluminationMode,,,,String,,Signal.signal_type,,,
instrument.imaging,General.title,,,,String,filter.mode,Acquisition_instrument.TEM.acquisition_mode,,,
instrument.electron_source,Acquisition.SourceType,,,,String,source.type,source.name,,,
instrument.acceleration_voltage,Optics.AccelerationVoltage,,,,,electron_gun.voltage_target,,,,
instrument.c2_aperture,CustomProperties.Aperture[C2].Name.value,Optics.C2LensIntensity/Optics.Apertures.Aperture-1.Name,,,,,filter.aperture,,,
instrument.cs,,,,,,,,,,
,,,,,,,,,,
acquisition.nominal_defocus.minimal,Optics.Defocus,,,,,,,,,
acquisition.nominal_defocus.maximal,,,,,,,,,,
,,,,,,,,,,
acquisition.calibrated_defocus.minimal,,,,,,,,,,
acquisition.calibrated_defocus.maximal,,,,,,,,,,
acquisition.nominal_magnification,CustomProperties.StemMagnification.value,,,,,scan_driver.magnification,scan_driver.magnification_reference[]/camera.magnification_angle/camera.magnification_factor,,,
acquisition.calibrated_magnification,,,,,,,,,,
acquisition.holder,Stage.HolderType,,,,String,,,,,
acquisition.holder_cryogen,,,,,,,,,,
,,,,,,,,,,
acquisition.temperature.minimal,CustomProperties.Detectors[SuperXG11].Temperature.value,CustomProperties.Detectors[SuperXG12].Temperature.value/CustomProperties.Detectors[SuperXG13].Temperature.value/CustomProperties.Detectors[SuperXG14].Temperature.value,,,,,,,,
acquisition.temperature.maximal,,,,,,,,,,
acquisition.alignment_procedure,,,,,,,,,,
acquisition.microscope_software,,,,,,,,,,
acquisition.detector,?,,,,,source.detector_config.description,,,,
acquisition.detector_mode,,,,,,,,,,
acquisition.dose_per_movie,,,,,,,,,,
,,,,,,,,,,
acquisition.energy_filter.used,EnergyFilter.EntranceApertureType,never used?,,,,,,,,
acquisition.energy_filter.model,,,,,,,,,,
acquisition.energy_filter.width_energy_filter,CustomProperties.Detectors[SuperXG11].SpectrumBeginEnergy.value/Detectors.Detector-5.BeginEnergy/Detectors.Detector-5.OffsetEnergy,,,,,filter.energy_offset,,,,
,,,,,,,,,,
acquisition.image_size.height,Scan.ScanSize.height,Scan.ScanRotation,,,,image_size[0],,,,
acquisition.image_size.width,Scan.ScanSize.width,,,,,image_size[1],,,,
acquisition.date_time,Acquisition.AcquisitionStartDatetime.DateTime,,,,,camera.time,,,,
acquisition.exposure_time,Detectors.Detector-1.ExposureTime,Detectors.Detector-1.ExposureMode,,,,camera.exposure_time,,,,
,,,,,,,,,,
acquisition.tilt_angle.minimal,Stage.AlphaTilt,Stage.BetaTilt,,,,,,,,
acquisition.tilt_angle.maximal,,,,,,,,,,
acquisition.tilt_angle.increment,,,,,,,,,,
acquisition.cryogen,,,,,,,,,,
acquisition.frames_per_movie,,,,,,,,,,
acquisition.grids_imaged,,,,,,,,,,
acquisition.images_generated,,,,,,camera.simplon_parameters.nimages,,,,
acquisition.binning_camera,,Detectors.Detector-1.Binning.height/Detectors.Detector-1.Binning.width,,,,camera.binning,,,,
acquisition.pixel_size,BinaryResult.PixelSize,BinaryResult.PixelUnitX,,,,camera.pixel_size,,,,
,,,,,,,,,,
,,,,,,,,,,
acquisition.specialist_optics.phaseplate.used,,,,,,,,,,
acquisition.specialist_optics.phaseplate.instrument_type,,,,,,,,,,
,,,,,,,,,,
acquisition.specialist_optics.spherical_aberration_corrector.used,,,,,,,,,,
acquisition.specialist_optics.spherical_aberration_corrector.instrument_type,,,,,,,,,,
,,,,,,,,,,
acquisition.specialist_optics.chromatic_aberration_corrector.used,,,,,,,,,,
acquisition.specialist_optics.chromatic_aberration_corrector.instrument_type,,,,,,,,,,
,,,,,,,,,,
acquisition.beamshift.x_max,,,,,,,,,,
acquisition.beamshift.x_min,,,,,,,,,,
acquisition.beamshift.y_max,,,,,,,,,,
acquisition.beamshift.y_min,,,,,,,,,,
,,,,,,,,,,
acquisition.beamtilt.x_max,,,,,,,,,,
acquisition.beamtilt.y_max,,,,,,,,,,
